Name,Position,Team,Opp,Salary,Consensus,PPG,opp pitcher,slg,opp p era,pitcher consensus,era
Lane Thomas,OF/UTL,WSH,PHI,3500,10.4,11.45,Michael Lorenzen,0.475,3.23,0,0
CJ Abrams,SS/UTL,WSH,PHI,3000,10.65,10.01,Michael Lorenzen,0.408,3.23,0,0
Joey Meneses,C1B/UTL,WSH,PHI,3000,9.86,9.63,Michael Lorenzen,0.422,3.23,0,0
Bryce Harper,C1B/OF/UTL,PHI,WSH,3500,13.76,10.66,Joan Adon,0.442,5.14,0,0
Fernando Tatis Jr.,OF/UTL,SD,ARI,4000,12.66,12.69,Brandon Pfaadt,0.471,6.91,0,0
Corey Seager,SS/UTL,TEX,MIL,4300,11.34,15.16,Brandon Woodruff,0.661,1.99,0,0
Edouard Julien,2B/UTL,MIN,PIT,2800,11.86,8.99,Andre Jackson,0.486,5.47,0,0
Keibert Ruiz,C1B/UTL,WSH,PHI,2800,8.95,8.82,Michael Lorenzen,0.423,3.23,0,0
Jake Alu,3B/2B/UTL,WSH,PHI,2700,8,6.82,Michael Lorenzen,0.314,3.23,0,0
Dominic Smith,C1B/UTL,WSH,PHI,2600,8.55,6.84,Michael Lorenzen,0.346,3.23,0,0
Stone Garrett,OF/UTL,WSH,PHI,2600,0,7.94,Michael Lorenzen,0.463,3.23,0,0
Ildemaro Vargas,2B/SS/3B/UTL,WSH,PHI,2500,7.84,6.57,Michael Lorenzen,0.382,3.23,0,0
Alex Call,OF/UTL,WSH,PHI,2500,7.56,7.38,Michael Lorenzen,0.293,3.23,0,0
Marcus Semien,2B/UTL,TEX,MIL,3700,10.78,12.63,Brandon Woodruff,0.472,1.99,0,0
Spencer Strider,P,ATL,SF,11500,0,42.88,,0,0,40.88,3.75
Pablo Lopez,P,MIN,PIT,10800,0,37.96,,0,0,36.03,3.66
Brandon Woodruff,P,MIL,TEX,10500,0,37.75,,0,0,29.51,1.99
Adolis Garcia,OF/UTL,TEX,MIL,3700,10.28,12.74,Brandon Woodruff,0.511,1.99,0,0
Nathaniel Lowe,C1B/UTL,TEX,MIL,3300,9.82,10.76,Brandon Woodruff,0.445,1.99,0,0
Mitch Garver,C1B/UTL,TEX,MIL,3000,9.83,10.02,Brandon Woodruff,0.5,1.99,0,0
Ezequiel Duran,SS/OF/3B/UTL,TEX,MIL,2800,8.09,9.19,Brandon Woodruff,0.474,1.99,0,0
Leody Taveras,OF/UTL,TEX,MIL,2700,8.09,9.27,Brandon Woodruff,0.422,1.99,0,0
J.P. Martinez,OF/UTL,TEX,MIL,2300,7.07,9.33,Brandon Woodruff,0.474,1.99,0,0
Josh Smith,OF/SS/3B/UTL,TEX,MIL,2200,8.74,4.89,Brandon Woodruff,0.336,1.99,0,0
Randy Arozarena,OF/UTL,TB,LAA,3600,13,11.18,Tyler Anderson,0.425,5.28,0,0
Yandy Diaz,C1B/3B/UTL,TB,LAA,3600,12.61,11.65,Tyler Anderson,0.506,5.28,0,0
Josh Lowe,OF/UTL,TB,LAA,3200,0,10.62,Tyler Anderson,0.482,5.28,0,0
Jose Siri,OF/UTL,TB,LAA,3100,10.79,10.21,Tyler Anderson,0.511,5.28,0,0
Isaac Paredes,3B/C1B/2B/UTL,TB,LAA,3100,11.62,10.37,Tyler Anderson,0.493,5.28,0,0
Brandon Lowe,2B/UTL,TB,LAA,2900,0,10.05,Tyler Anderson,0.433,5.28,0,0
Harold Ramirez,OF/UTL,TB,LAA,2600,11.44,8.46,Tyler Anderson,0.441,5.28,0,0
Osleivis Basabe,SS/UTL,TB,LAA,2400,8.54,7.1,Tyler Anderson,0.214,5.28,0,0
Christian Bethancourt,C1B/UTL,TB,LAA,2200,9.68,6.46,Tyler Anderson,0.373,5.28,0,0
Thairo Estrada,2B/SS/UTL,SF,ATL,3100,8.26,11.16,Spencer Strider,0.432,3.75,0,0
Michael Conforto,OF/UTL,SF,ATL,2900,9.01,9.28,Spencer Strider,0.411,3.75,0,0
Wilmer Flores,C1B/3B/2B/UTL,SF,ATL,2900,9.42,8.98,Spencer Strider,0.537,3.75,0,0
Joc Pederson,OF/UTL,SF,ATL,2800,9.18,8.55,Spencer Strider,0.414,3.75,0,0
LaMonte Wade Jr.,C1B/UTL,SF,ATL,2700,9.74,8.51,Spencer Strider,0.406,3.75,0,0
J.D. Davis,3B/UTL,SF,ATL,2600,7.72,8.55,Spencer Strider,0.41,3.75,0,0
Patrick Bailey,C1B/UTL,SF,ATL,2400,8.05,8.12,Spencer Strider,0.414,3.75,0,0
Brandon Crawford,SS/UTL,SF,ATL,2300,7.55,6.75,Spencer Strider,0.322,3.75,0,0
Blake Sabol,C1B/OF/UTL,SF,ATL,2300,7.68,6.98,Spencer Strider,0.398,3.75,0,0
Julio Rodriguez,OF/UTL,SEA,HOU,3900,11.58,12.66,J.P. France,0.451,2.74,0,0
Cal Raleigh,C1B/UTL,SEA,HOU,3000,9.76,9.45,J.P. France,0.458,2.74,0,0
Ty France,C1B/UTL,SEA,HOU,2900,9.29,9.04,J.P. France,0.387,2.74,0,0
Eugenio Suarez,3B/UTL,SEA,HOU,2700,10.61,9.44,J.P. France,0.387,2.74,0,0
Cade Marlowe,OF/UTL,SEA,HOU,2600,8.52,8.86,J.P. France,0.483,2.74,0,0
Teoscar Hernandez,OF/UTL,SEA,HOU,2600,9.27,9.15,J.P. France,0.42,2.74,0,0
Dylan Moore,OF/SS/2B/UTL,SEA,HOU,2500,10.2,7.01,J.P. France,0.487,2.74,0,0
Josh Rojas,3B/2B/UTL,SEA,HOU,2400,7.54,7.17,J.P. France,0.303,2.74,0,0
Dominic Canzone,OF/UTL,SEA,HOU,2400,8.03,6.14,J.P. France,0.333,2.74,0,0
Juan Soto,OF/UTL,SD,ARI,3600,12.26,12.08,Brandon Pfaadt,0.495,6.91,0,0
Manny Machado,3B/UTL,SD,ARI,3500,11.33,10.73,Brandon Pfaadt,0.444,6.91,0,0
Ha-Seong Kim,2B/3B/SS/UTL,SD,ARI,3100,11.7,10.59,Brandon Pfaadt,0.44,6.91,0,0
Gary Sanchez,C1B/UTL,SD,ARI,2900,10.01,9.83,Brandon Pfaadt,0.495,6.91,0,0
Xander Bogaerts,SS/UTL,SD,ARI,2900,10.44,9.35,Brandon Pfaadt,0.397,6.91,0,0
Jake Cronenworth,C1B/2B/UTL,SD,ARI,2800,9.78,8.74,Brandon Pfaadt,0.388,6.91,0,0
Trent Grisham,OF/UTL,SD,ARI,2600,8.76,8.54,Brandon Pfaadt,0.381,6.91,0,0
Garrett Cooper,C1B/UTL,SD,ARI,2500,9.42,8.27,Brandon Pfaadt,0.431,6.91,0,0
Bryan Reynolds,OF/UTL,PIT,MIN,3500,10.78,10.99,Pablo Lopez,0.469,3.66,0,0
Ke'Bryan Hayes,3B/UTL,PIT,MIN,3300,9.28,9.34,Pablo Lopez,0.422,3.66,0,0
Andrew McCutchen,OF/UTL,PIT,MIN,2900,9.04,9.51,Pablo Lopez,0.381,3.66,0,0
Jack Suwinski,OF/UTL,PIT,MIN,2900,9.46,9.54,Pablo Lopez,0.455,3.66,0,0
Henry Davis,C1B/OF/UTL,PIT,MIN,2700,8.56,8.55,Pablo Lopez,0.352,3.66,0,0
Liover Peguero,SS/2B/UTL,PIT,MIN,2500,6.8,9.26,Pablo Lopez,0.5,3.66,0,0
Alfonso Rivas,C1B/UTL,PIT,MIN,2500,7.06,5.9,Pablo Lopez,0.412,3.66,0,0
Connor Joe,C1B/OF/UTL,PIT,MIN,2400,9.27,7.73,Pablo Lopez,0.427,3.66,0,0
Alika Williams,SS/UTL,PIT,MIN,2100,6.66,3.4,Pablo Lopez,0.24,3.66,0,0
Kyle Schwarber,OF/UTL,PHI,WSH,3500,14.48,11,Joan Adon,0.418,5.14,0,0
Nick Castellanos,OF/UTL,PHI,WSH,3200,11.51,10.67,Joan Adon,0.47,5.14,0,0
Bryson Stott,2B/UTL,PHI,WSH,3100,12.24,10.4,Joan Adon,0.438,5.14,0,0
J.T. Realmuto,C1B/UTL,PHI,WSH,3100,11.3,9.91,Joan Adon,0.461,5.14,0,0
Trea Turner,SS/UTL,PHI,WSH,3000,11.39,10,Joan Adon,0.394,5.14,0,0
Alec Bohm,3B/C1B/UTL,PHI,WSH,3000,11.63,10.07,Joan Adon,0.424,5.14,0,0
Johan Rojas,OF/UTL,PHI,WSH,2600,9.3,8.13,Joan Adon,0.406,5.14,0,0
Jake Cave,OF/UTL,PHI,WSH,2300,9.77,6.39,Joan Adon,0.365,5.14,0,0
Zack Gelof,3B/UTL,OAK,BAL,4000,10.63,14.25,Kyle Gibson,0.633,4.89,0,0
Esteury Ruiz,OF/UTL,OAK,BAL,3000,8.18,10.35,Kyle Gibson,0.331,4.89,0,0
Brent Rooker,OF/UTL,OAK,BAL,2900,9.29,9.02,Kyle Gibson,0.458,4.89,0,0
Seth Brown,OF/UTL,OAK,BAL,2600,10.07,7.84,Kyle Gibson,0.414,4.89,0,0
Shea Langeliers,C1B/UTL,OAK,BAL,2500,8.03,7.16,Kyle Gibson,0.359,4.89,0,0
Jordan Diaz,2B/UTL,OAK,BAL,2500,8.74,6.54,Kyle Gibson,0.408,4.89,0,0
Tyler Soderstrom,C1B/UTL,OAK,BAL,2300,7.51,5.03,Kyle Gibson,0.263,4.89,0,0
Nick Allen,SS/UTL,OAK,BAL,2200,6.71,4.57,Kyle Gibson,0.268,4.89,0,0
