name,,date,salary,team,opposing team,score,value,conesensus,avg fp,opp pitcher,hitting grade,hitting grade,savant grade,avg exit velo,hard hit %,barrel %,ops,slg,opp pitcher era,opp pitcher grade,team r/g
CJ Abrams,SS/UTL,"July 31, 2023",2600,WSN,MIL,15.2,4.6,9.75,10,Corbin Burnes,MIL,57.7,41.4,86.9,35.8,5.7,0.72,0.42,3.73,70.9,4.2
Jeremy Pena,SS/UTL,"July 31, 2023",2600,HOU,CLE,6,4.4,10.95,8.99,Noah Syndergaard,CLE,48.95,41.4,87.6,35.4,5.7,0.687,0.39,7.16,20.4,4.7
Ha-Seong Kim,2B/3B/SS/UTL,"July 31, 2023",3600,SDP,COL,9,4.3,14.52,10.38,Austin Gomber,COL,72.425,42.1,87.1,30,5.8,0.769,0.418,6.19,19.6,4.5
Jarren Duran,OF/UTL,"July 31, 2023",3100,BOS,SEA,21.2,4.3,9.85,10.3,George Kirby,SEA,92.475,51.5,89.9,46.5,7,0.882,0.515,3.43,71.2,5
Luis Rengifo,2B/SS/OF/UTL,"July 31, 2023",2700,LAA,ATL,24.7,4.3,9.35,7.45,Charlie Morton,ATL,34.975,32.8,88.3,34.1,4.5,0.632,0.329,3.2,71.9,5
Yainer Diaz,C1B/UTL,"July 31, 2023",2800,HOU,CLE,15.2,4.2,10.45,8.62,Noah Syndergaard,CLE,67.775,84.6,90.9,46.7,13.2,0.775,0.487,7.16,20.4,4.7
Adam Frazier,2B/OF/UTL,"July 31, 2023",2700,BAL,TOR,6,4.2,8.96,8.48,Chris Bassitt,TOR,56.625,27.1,86.1,25.9,3.7,0.729,0.422,4.12,53.9,5
Joey Meneses,C1B/UTL,"July 31, 2023",2500,WSN,MIL,34.7,4.2,8.45,8.84,Corbin Burnes,MIL,66.575,42.8,89.5,43,5.9,0.724,0.401,3.73,70.9,4.2
Jose Altuve,2B/UTL,"July 31, 2023",3500,HOU,CLE,30.4,4.1,13.31,12.77,Noah Syndergaard,CLE,84.5,60.7,87.9,32,8.2,0.85,0.479,7.16,20.4,4.7
Christian Yelich,OF/UTL,"July 31, 2023",3500,MIL,WSH,15.2,4,14.54,12.67,Jake Irvin,WSH,88.025,73.8,92.8,52.9,10.6,0.85,0.472,4.96,27.7,4.2
Elly De La Cruz,3B/SS/UTL,"July 31, 2023",3500,CIN,CHC,0,4,10.89,12.97,Marcus Stroman,CHC,82.125,30.2,90.1,46.3,4.2,0.812,0.478,2.88,75.4,4.9
Whit Merrifield,2B/OF/UTL,"July 31, 2023",3400,TOR,BAL,18.7,4,11,10.25,Kyle Gibson,BAL,74.7,23.7,85.9,27.1,3.1,0.751,0.404,4.77,45.5,4.6
Geraldo Perdomo,SS/2B/UTL,"July 31, 2023",2900,ARI,SF,3.2,4,9.55,9.42,Jakob Junis,SF,78.975,17.5,84.8,18.9,1.5,0.796,0.409,4.55,60,4.9
Gleyber Torres,2B/UTL,"July 31, 2023",2800,NYY,TB,0,4,9.89,9.67,Tyler Glasnow,TB,68.175,53.9,89,37.5,7.4,0.752,0.421,3.78,76.2,4.4
Jake Bauers,C1B/OF/UTL,"July 31, 2023",2400,NYY,TB,18.7,4,8.71,7.92,Tyler Glasnow,TB,62.6,97.9,90.1,46.7,21.1,0.782,0.47,3.78,76.2,4.4
Yu Chang,3B/UTL,"July 31, 2023",2200,BOS,SEA,0,4,6.18,6.49,George Kirby,SEA,25.6,52,90.2,38.1,7.1,0.6,0.39,3.43,71.2,5
Aaron Judge,OF/UTL,"July 31, 2023",4200,NYY,TB,9,3.9,13.1,15.53,Tyler Glasnow,TB,95.875,99.3,97.2,62.6,30.4,1.078,0.674,3.78,76.2,4.4
Jake Fraley,OF/UTL,"July 31, 2023",3300,CIN,CHC,15.7,3.9,10.23,10.78,Marcus Stroman,CHC,82.475,53.9,84.6,30.5,7.4,0.831,0.468,2.88,75.4,4.9
Yandy Diaz,C1B/3B/UTL,"July 31, 2023",3300,TBR,NYY,9.2,3.9,11.34,11.55,Jhony Brito,NYY,94.9,63,94.7,56.1,8.6,0.923,0.515,4.7,32.6,5.4
Alex Bregman,3B/UTL,"July 31, 2023",3200,HOU,CLE,9.2,3.9,11.59,11.08,Noah Syndergaard,CLE,63.025,37.7,87.8,35.5,5.2,0.739,0.398,7.16,20.4,4.7
Adley Rutschman,C1B/UTL,"July 31, 2023",3100,BAL,TOR,0,3.9,11.3,10.06,Chris Bassitt,TOR,80.15,52,88,37.5,7.1,0.801,0.426,4.12,53.9,5
Hunter Renfroe,OF/UTL,"July 31, 2023",2800,LAA,ATL,3,3.9,10.02,9.46,Charlie Morton,ATL,61.675,55.5,89.7,42.5,7.5,0.751,0.451,3.2,71.9,5
Jake McCarthy,OF/UTL,"July 31, 2023",2800,ARI,SF,3.2,3.9,9.52,8.21,Jakob Junis,SF,51.7,25.8,86.4,23.6,3.4,0.679,0.351,4.55,60,4.9
Kyle Tucker,OF/UTL,"July 31, 2023",3600,HOU,CLE,22.2,3.8,14.32,12.33,Noah Syndergaard,CLE,90.675,63,91.5,50,8.6,0.867,0.49,7.16,20.4,4.7
Gunnar Henderson,3B/SS/UTL,"July 31, 2023",3400,BAL,TOR,27.7,3.8,11.26,10.09,Chris Bassitt,TOR,73.075,76.4,92.2,52.4,11.4,0.804,0.462,4.12,53.9,5
Brandon Lowe,2B/UTL,"July 31, 2023",3100,TBR,NYY,22.2,3.8,11.75,9.94,Jhony Brito,NYY,49,77.5,90.9,45,11.6,0.713,0.403,4.7,32.6,5.4
William Contreras,C1B/UTL,"July 31, 2023",3000,MIL,WSH,12.5,3.8,12.21,9.81,Jake Irvin,WSH,78.975,67.7,90.8,48.4,9.4,0.799,0.445,4.96,27.7,4.2
Blake Sabol,C1B/OF/UTL,"July 31, 2023",2800,SFG,ARI,9.2,3.8,9.45,7.55,Ryne Nelson,ARI,62.125,84.3,90.4,40.1,13.1,0.742,0.431,4.98,33.1,4.7
Eddie Rosario,OF/UTL,"July 31, 2023",2700,ATL,LAA,0,3.8,10.02,8.73,Chase Silseth,LAA,69.675,75.4,89.2,38.6,11.1,0.792,0.486,3.99,70,5.6
Jake Meyers,OF/UTL,"July 31, 2023",2400,HOU,CLE,9.7,3.8,8.53,7.25,Noah Syndergaard,CLE,46.375,52.5,85.2,26.8,7.2,0.687,0.381,7.16,20.4,4.7
Manny Machado,3B/UTL,"July 31, 2023",4000,SDP,COL,9,3.7,15.17,11.02,Austin Gomber,COL,67.975,67.9,90.7,44.3,9.5,0.773,0.463,6.19,19.6,4.5
Justin Turner,C1B/3B/UTL,"July 31, 2023",3300,BOS,SEA,9.5,3.7,9.07,11.62,George Kirby,SEA,86.425,45.2,89.9,40.5,6.3,0.836,0.474,3.43,71.2,5
Gary Sanchez,C1B/UTL,"July 31, 2023",3300,SDP,COL,0,3.7,12.28,9.23,Austin Gomber,COL,34.2,72.6,88.4,42.7,10.4,0.662,0.398,6.19,19.6,4.5
Anthony Santander,OF/C1B/UTL,"July 31, 2023",3200,BAL,TOR,15.4,3.7,11.08,10.55,Chris Bassitt,TOR,84.175,78,90.9,45.5,11.7,0.847,0.503,4.12,53.9,5
Isaac Paredes,3B/C1B/2B/UTL,"July 31, 2023",3200,TBR,NYY,27.7,3.7,10.83,10.42,Jhony Brito,NYY,84.75,44.2,87.1,28.6,6.1,0.868,0.504,4.7,32.6,5.4
